Date,Local.Time,Latitude,Longitude,Magnitude.ML.,Epicentre
4/12/2016,20:26,27.56,86.17,4.4,Dolakha
4/9/2016,19.05,27.65,85.31,4.5,Lalitpur
4/4/2016,10:16,27.72,86.09,4.7,Dolakha
3/31/2016,4:26,27.93,85.59,4,Sindhupalchowk
3/30/2016,18:11,27.89,85.73,4.7,Sindhupalchowk
3/17/2016,10:59,27.34,86.27,4,Okhaldhunga
3/15/2016,3:12,27.84,85.73,4.5,Sindhupalchowk
3/13/2016,11:00,27.83,84.9,4.8,Dhading
3/11/2016,15:13,27.9,85.87,4.2,Sindhupalchowk
3/6/2016,7:10,27.69,85.93,4,Sindhupalchowk
3/1/2016,16:30,27.79,85.73,4.3,Sindhupalchowk
2/24/2016,15:07,27.8,85.74,5.4,Sindhupalchok
2/21/2016,23:54,28.08,84.76,5.5,Gorkha
2/20/2016,3:54,27.86,85.29,4.1,Nuwakot
2/13/2016,20:22,27.81,85.72,4.3,Sindhupalchowk
2/10/2016,22:12,27.84,85.71,4.6,Sindhupalchowk
2/5/2016,22:05,27.95,85.52,5.5,Sindhupalchowk
1/27/2016,20:42,27.83,85.83,4.4,Sindhupalchowk
1/22/2016,1:07,28.06,85.09,4.6,Nuwakot
1/15/2016,22:59,27.65,86.23,4.3,Dolakha
1/15/2016,18:50,27.63,86.25,4.1,Dolakha
1/9/2016,23:28,27.48,86.01,4.4,Ramechhap
1/4/2016,18:47,27.75,86.12,4.1,Dolakha
1/2/2016,3:15,28.01,85.8,4.2,Sindhupalchowk
12/31/2015,7:41,27.86,85.72,4.3,Sindhupalchowk
12/28/2015,3:52,27.7,86.12,4.2,Dolakha
12/23/2015,8:59,27.79,86.08,4.1,Dolakha
12/13/2015,8:45,28.04,85.02,4.1,Dhading
12/7/2015,7:27,27.86,86.19,4,Dolakha
11/30/2015,6:10,27.78,85.39,4.1,Kathmandu
11/27/2015,15:23,27.63,85.53,4.1,kavrepalanchok
11/25/2015,0:42,27.87,85.77,4.1,Sindhupalchowk
11/24/2015,18:09,28.15,84.81,4.4,Gorkha
11/24/2015,17:00,27.87,85.29,4,Nuwakot
11/19/2015,17:44,27.77,85.88,4,Sindhupalchok
11/19/2015,10:00,27.89,85.75,5.3,Sindupalchok
11/17/2015,18:55,28.02,85.28,4.3,Rasuwa
11/12/2015,15.45,27.99,85.65,4.2,Sindupalchok
10/31/2015,9:28,28.03,85.23,4.3,Rasuwa
10/17/2015,23:46,27.8,86.3,4.2,Dolakha
10/16/2015,14:28,27.71,86.16,4.2,Dolakha
10/8/2015,21:58,27.96,85.54,4.1,Sindupalchowk
10/8/2015,13:00,27.57,85.31,4,Lalitpur
10/7/2015,5:15,27.68,86.08,4.2,Dolakha
10/6/2015,17:47,27.69,86.09,4.2,Dolakha
10/5/2015,13:21,27.71,86.1,4.2,Dolakha
10/5/2015,13:18,27.71,86.15,4.8,Dolakha
9/29/2015,16:39,27.77,85.87,4.6,Sindhupalchowk
9/22/2015,12:17,27.74,85.07,4.5,Dhading
9/20/2015,4:05,27.76,86.37,4,Dolakha
9/16/2015,20:37,27.6,86.19,4.2,Dolakha
9/9/2015,18:23,27.82,86.24,4,Dolakha
9/3/2015,5:10,27.75,86.01,4.3,Sindhupalchowk
9/2/2015,4:51,27.64,86.19,4.4,Dolakha
8/31/2015,23:33,27.92,85.69,4.2,Sindhupalchowk
8/30/2015,19:02,27.72,85.75,5,Sindhupalchowk
8/30/2015,8:26,27.66,86.23,4.1,Dolakha
8/30/2015,3:09,27.92,84.94,4.3,Dhading
8/27/2015,6:07,28.12,84.89,4.1,Gorkha
8/27/2015,0:51,27.85,85.74,4.2,Sindhupalchowk
8/25/2015,15:08,27.68,86.22,4,Dolakha
8/23/2015,14:47,27.87,86.17,5.1,Dolakha
8/21/2015,12:21,27.96,85.48,4,Nuwakot
8/20/2015,11:47,28,85.29,4.6,Rasuwa
8/18/2015,4:08,27.93,86.14,4.8,Dolakha
8/15/2015,23:56,27.71,86.05,4.8,Dolakha
8/15/2015,10:10,27.87,86.08,4.1,Dolakha
8/14/2015,18:47,27.59,85.97,4.3,Dolakha
8/13/2015,1:49,27.72,85.2,4,Kathmandu
8/11/2015,10:42,27.7,85.29,4.3,Kathmandu
8/10/2015,4:15,28.14,84.72,4.9,Gorkha
8/9/2015,7:55,27.94,85.52,4.1,Sindupalchok
8/8/2015,21:25,27.69,86.26,4.1,Dolakha
8/8/2015,6:24,27.77,85.7,4,Sindupalchok
8/7/2015,11:57,27.5,85.5,4.4,Kavre
8/6/2015,20:36,27.86,85.76,4.1,Sindupalchok
8/5/2015,17:38,27.63,86.07,4.1,Dolakha
8/5/2015,13:59,27.64,86.07,4.3,Dolakha
8/1/2015,7:22,27.81,85.71,4.2,Sindupalchok
7/30/2015,20:18,27.66,86.09,4.5,Dolakha
7/28/2015,21:23,27.59,86.17,4.1,Dolakha
7/28/2015,18:38,27.68,86.04,4,Dolakha
7/28/2015,9:21,27.8,85.75,4.1,Sindupalchok
